epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9332,1.53146,3.55706,2.12879,0.00561,1,0.22165,0.11237,0.6387,3.74322,1.31128,1.25e-05,1.25e-05,1.25e-05
2,24.4687,0.91764,3.39255,1.29653,0.00589,1,0.25413,0.14258,0.60028,3.72507,1.27596,3.67575e-05,3.67575e-05,3.67575e-05
3,31.0059,0.76069,3.30503,1.17649,0.00623,1,0.43128,0.29596,0.56893,3.69713,1.25804,6.0025e-05,6.0025e-05,6.0025e-05
4,37.6748,2.03855,5.3587,1.95877,0.0069,1,0.56268,0.44309,0.5228,3.68096,1.24275,8.23025e-05,8.23025e-05,8.23025e-05
5,44.3363,0.915,3.18539,1.45838,0.00767,1,0.5836,0.47528,0.51268,3.67745,1.21623,0.00010359,0.00010359,0.00010359
6,50.9989,0.73157,2.87033,1.19927,0.0087,1,0.63254,0.53333,0.48643,3.66771,1.18708,0.000123888,0.000123888,0.000123888
7,57.6228,0.81441,2.73851,1.36122,0.00987,1,0.62422,0.50794,0.48063,3.63313,1.16329,0.000143195,0.000143195,0.000143195
8,64.3019,0.9879,2.81214,1.55404,0.01034,1,0.62264,0.49142,0.51614,3.58336,1.19898,0.000161513,0.000161513,0.000161513
9,70.8362,0.58223,2.48152,1.09131,0.01052,1,0.63026,0.50896,0.52401,3.55616,1.21191,0.00017884,0.00017884,0.00017884
10,77.5212,0.72124,2.63885,1.17072,0.01047,1,0.61585,0.49791,0.5502,3.51604,1.21554,0.000195178,0.000195178,0.000195178
11,84.2,0.81539,2.24025,1.31761,0.01071,1,0.60624,0.49381,0.5524,3.48962,1.20482,0.000210525,0.000210525,0.000210525
12,90.7791,0.55385,1.88742,1.00515,0.01092,1,0.64318,0.53282,0.58042,3.42962,1.22898,0.000224883,0.000224883,0.000224883
13,97.4023,0.9057,2.03477,1.30615,0.01108,1,0.63222,0.53986,0.59913,3.36544,1.26937,0.00023825,0.00023825,0.00023825
14,104.026,1.10101,2.23623,1.49562,0.01107,1,0.69193,0.584,0.65158,3.26788,1.32709,0.000250627,0.000250627,0.000250627
15,110.78,1.05521,2.31707,1.73267,1,0.29916,0.73748,0.57656,0.72135,3.20097,1.44129,0.000262015,0.000262015,0.000262015
16,117.674,0.79186,2.14375,1.36137,1,0.20729,0.76028,0.58503,0.7302,3.11492,1.41739,0.000272412,0.000272412,0.000272412
17,124.447,0.83984,2.35054,1.40935,1,0.23666,0.80292,0.64084,0.73681,3.02571,1.4186,0.00028182,0.00028182,0.00028182
18,131.124,0.92883,2.01864,1.33386,1,0.23839,0.78632,0.63323,0.78345,2.96827,1.48429,0.000290237,0.000290237,0.000290237
19,137.855,0.70406,1.49558,1.18476,0.95909,0.20833,0.74911,0.60335,0.74929,2.95131,1.45766,0.000297665,0.000297665,0.000297665
20,144.624,0.56666,1.45026,1.10113,0.97066,0.30869,0.79188,0.63469,0.7661,2.91445,1.46987,0.000304103,0.000304103,0.000304103
21,151.328,0.98934,1.47448,1.44975,1,0.36263,0.87024,0.66382,0.7333,2.94044,1.41575,0.00030955,0.00030955,0.00030955
22,158.1,0.70916,1.60302,1.14057,0.87076,0.35855,0.91024,0.66019,0.76979,2.9788,1.44754,0.000314008,0.000314008,0.000314008
23,164.815,0.55344,1.38437,1.10311,0.95865,0.35552,0.93839,0.70498,0.76891,2.92907,1.47694,0.000317475,0.000317475,0.000317475
24,171.529,0.78412,1.47389,1.24247,0.89409,0.58675,0.96722,0.69556,0.75407,2.82532,1.46699,0.000319953,0.000319953,0.000319953
25,178.208,0.54048,1.11639,1.08531,0.86512,0.76487,0.945,0.68561,0.81363,2.74034,1.54743,0.00032144,0.00032144,0.00032144
26,184.963,0.83914,1.60021,1.36705,0.87454,0.84275,0.93019,0.68915,0.81403,2.55212,1.56979,0.000321938,0.000321938,0.000321938
27,191.543,1.05461,1.64141,1.41234,0.91757,0.82838,0.93944,0.7241,0.81402,2.21902,1.5555,0.000321445,0.000321445,0.000321445
28,198.346,0.61476,1.13906,1.19172,0.91757,0.82838,0.93944,0.7241,0.81402,2.21902,1.5555,0.000319962,0.000319962,0.000319962
29,205.108,0.63518,1.36034,1.14202,0.83503,0.97718,0.97833,0.75673,0.79214,1.98062,1.49462,0.00031749,0.00031749,0.00031749
30,213.1,0.84251,1.23418,1.29726,0.81978,0.97507,0.97833,0.75433,0.78573,2.00038,1.46027,0.000314028,0.000314028,0.000314028
31,220.857,0.77169,1.52963,1.31519,0.81978,0.97507,0.97833,0.75433,0.78573,2.00038,1.46027,0.000309575,0.000309575,0.000309575
32,227.724,0.70418,1.29585,1.06527,0.95445,0.91667,0.97833,0.75202,0.81034,1.95625,1.46664,0.000304132,0.000304132,0.000304132
33,234.65,0.6035,1.11127,1.00602,0.94824,0.91272,0.97833,0.74235,0.83284,2.04622,1.47599,0.0002977,0.0002977,0.0002977
34,241.729,0.6262,1.14068,1.09181,0.94824,0.91272,0.97833,0.74235,0.83284,2.04622,1.47599,0.000290277,0.000290277,0.000290277
35,248.739,0.72366,1.07974,1.05474,0.91194,0.96003,0.97833,0.72957,0.86827,1.94759,1.51385,0.000281865,0.000281865,0.000281865
36,255.42,0.76172,1.33653,1.31262,0.80182,0.96915,0.96167,0.72481,0.8844,1.96405,1.50606,0.000272463,0.000272463,0.000272463
37,261.985,0.64422,1.06138,1.06274,0.80182,0.96915,0.96167,0.72481,0.8844,1.96405,1.50606,0.00026207,0.00026207,0.00026207
38,268.878,0.57258,0.95276,1.02993,0.77778,0.98502,0.94325,0.72019,0.92312,1.97423,1.52638,0.000250687,0.000250687,0.000250687
39,275.438,0.65242,1.33103,1.11168,0.83538,0.96739,0.96201,0.71841,0.8798,2.04615,1.48054,0.000238315,0.000238315,0.000238315
40,282.02,0.56346,2.02843,1.41394,0.83538,0.96739,0.96201,0.71841,0.8798,2.04615,1.48054,0.000224952,0.000224952,0.000224952
41,288.719,0.52208,2.46384,1.29649,0.89217,0.89915,0.96167,0.71133,0.88505,1.97697,1.50564,0.0002106,0.0002106,0.0002106
42,295.376,0.36862,1.67505,0.93983,0.89553,0.9069,0.97446,0.69683,0.92363,2.04152,1.57879,0.000195258,0.000195258,0.000195258
43,301.968,0.52571,2.32956,1.23343,0.89553,0.9069,0.97446,0.69683,0.92363,2.04152,1.57879,0.000178925,0.000178925,0.000178925
44,308.376,0.37437,1.55092,0.97779,0.87834,0.91667,0.98158,0.67588,0.93701,2.19027,1.6741,0.000161603,0.000161603,0.000161603
45,314.857,0.3667,1.43512,0.90635,0.87834,0.91667,0.98158,0.67588,0.93701,2.19027,1.6741,0.00014329,0.00014329,0.00014329
46,321.353,0.27156,2.06969,0.91467,0.81889,0.83333,0.96013,0.63585,0.96928,2.51009,1.74595,0.000123987,0.000123987,0.000123987
47,327.681,0.43614,1.41163,1.03786,0.81889,0.83333,0.96013,0.63585,0.96928,2.51009,1.74595,0.000103695,0.000103695,0.000103695
48,334.212,0.39007,2.29584,1.09629,0.91704,0.84561,0.97658,0.63529,1.00349,2.58491,1.76751,8.24125e-05,8.24125e-05,8.24125e-05
49,340.772,0.5338,1.83093,1.14478,0.91704,0.84561,0.97658,0.63529,1.00349,2.58491,1.76751,6.014e-05,6.014e-05,6.014e-05
50,347.516,0.32601,1.4459,0.86265,0.95117,0.84145,0.987,0.65703,0.98316,2.53721,1.75353,3.68775e-05,3.68775e-05,3.68775e-05
